,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
datetime.1,datetime.1,object,2021-01-01 00:00:00,2021-01-03 22:00:00,NA,NA,NA,2021-01-01 00:00:00,421,0,421,NA,NA,{}
time.1,time.1,int64,1609459200,1609711200,1609585200.0,73005.89017332779,1609585200.0,1609459200,421,0,421,1.0,inf,{}
time_wpm_20.1,time_wpm_20.1,int64,1609459200,1609711200,1609585200.0,73005.89017332779,1609585200.0,1609459200,421,0,421,1.0,inf,{}
wind_speed.1,wind_speed.1,float64,2.7,14.2,7.599047619047619,2.6043197175163493,7.8,10.3,421,1,95,0.9828930533107003,inf,{}
wind_speed_qc.1,wind_speed_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_speed_detail_qc.1,wind_speed_detail_qc.1,object,b'0',b'f',NA,NA,NA,b'0',421,0,3,NA,NA,"{'0': 0.995249406175772, '_': 0.0023752969121140144, 'f': 0.0023752969121140144}"
wind_speed_release.1,wind_speed_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
wind_direction.1,wind_direction.1,float64,8.0,348.0,205.46190476190475,59.97784774987261,216.0,208.0,421,1,140,0.9576048687256231,inf,{}
wind_direction_qc.1,wind_direction_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
wind_direction_detail_qc.1,wind_direction_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
wind_direction_release.1,wind_direction_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
wind_gust.1,wind_gust.1,float64,4.0,18.8,9.755,3.1236336392368163,9.7,12.4,421,1,112,0.9712142561460669,inf,{}
