,datetime.1,time.1,time_wpm_20.1,wind_speed.1,wind_speed_qc.1,wind_speed_detail_qc.1,wind_speed_release.1,wind_direction.1,wind_direction_qc.1,wind_direction_detail_qc.1,wind_direction_release.1,wind_gust.1,wind_gust_qc.1,wind_gust_detail_qc.1,wind_gust_release.1,max_1_minute_wind_speed.1,max_1_minute_wind_speed_qc.1,max_1_minute_wind_speed_detail_qc.1,max_1_minute_wind_speed_release.1,air_pressure_at_sea_level.1,air_pressure_at_sea_level_qc.1,air_pressure_at_sea_level_detail_qc.1,air_pressure_at_sea_level_release.1,air_pressure.1,air_pressure_qc.1,air_pressure_detail_qc.1,air_pressure_release.1,latitude.1,latitude_qc.1,latitude_detail_qc.1,latitude_release.1,longitude.1,longitude_qc.1,longitude_detail_qc.1,longitude_release.1,wind_speed.2,wind_speed_qc.2,wind_speed_detail_qc.2,wind_speed_release.2,wind_direction.2,wind_direction_qc.2,wind_direction_detail_qc.2,wind_direction_release.2,wind_gust.2,wind_gust_qc.2,wind_gust_detail_qc.2,wind_gust_release.2,max_1_minute_wind_speed.2,max_1_minute_wind_speed_qc.2,max_1_minute_wind_speed_detail_qc.2,max_1_minute_wind_speed_release.2,air_pressure_at_sea_level.2,air_pressure_at_sea_level_qc.2,air_pressure_at_sea_level_detail_qc.2,air_pressure_at_sea_level_release.2,air_pressure.2,air_pressure_qc.2,air_pressure_detail_qc.2,air_pressure_release.2,air_temperature.1,air_temperature_qc.1,air_temperature_detail_qc.1,air_temperature_release.1,dew_point_temperature.1,dew_point_temperature_qc.1,dew_point_temperature_detail_qc.1,dew_point_temperature_release.1,relative_humidity.1,relative_humidity_qc.1,relative_humidity_detail_qc.1,relative_humidity_release.1,latitude.2,latitude_qc.2,latitude_detail_qc.2,latitude_release.2,longitude.2,longitude_qc.2,longitude_detail_qc.2,longitude_release.2,latitude.3,latitude_qc.3,latitude_detail_qc.3,latitude_release.3,longitude.3,longitude_qc.3,longitude_detail_qc.3,longitude_release.3,latitude.4,latitude_qc.4,latitude_detail_qc.4,latitude_release.4,longitude.4,longitude_qc.4,longitude_detail_qc.4,longitude_release.4,significant_wave_height.1,significant_wave_height_qc.1,significant_wave_height_detail_qc.1,significant_wave_height_release.1,dominant_period.1,dominant_period_qc.1,dominant_period_detail_qc.1,dominant_period_release.1,average_period.1,average_period_qc.1,average_period_detail_qc.1,average_period_release.1,mean_wave_direction.1,mean_wave_direction_qc.1,mean_wave_direction_detail_qc.1,mean_wave_direction_release.1,c11.1,c11m.1,alpha1.1,alpha2.1,r1.1,r2.1,rhq.1,gamma2.1,gamma3.1,phih.1,sea_surface_temperature.1,sea_surface_temperature_qc.1,sea_surface_temperature_detail_qc.1,sea_surface_temperature_release.1,latitude.5,latitude_qc.5,latitude_detail_qc.5,latitude_release.5,longitude.5,longitude_qc.5,longitude_detail_qc.5,longitude_release.5
1609459200,2021-01-01 00:00:00,1609459200,1609459200,10.1,0,b'0',1,206,0,b'0',1,12.6,0,b'0',1,0,0,0,0,102358,0,b'0',1,102330,0,b'0',1,34.7435,0,b'0',0,-72.28,0,b'0',0,10.7,0,b'0',1,204,0,b'0',1,13.4,0,b'0',1,0,0,0,0,102441,0,b'0',1,102400,0,b'0',1,293.95,0,b'0',1,288.7139,0,b'0',1,71.4971,0,b'0',0,34.7435,0,b'0',0,-72.28,0,b'0',0,34.7435,0,b'0',0,-72.28,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.756,0,b'0',1,34.7435,0,b'0',0,-72.28,0,b'0',0
1609459800,2021-01-01 00:10:00,1609459800,1609459800,10.7,0,b'0',1,205,0,b'0',1,13.1,0,b'0',1,0,0,0,-9,102378,0,b'0',1,102350,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,11.3,0,b'0',1,202,0,b'0',1,13.9,0,b'0',1,0,0,0,-9,102460,0,b'0',1,102420,0,b'0',1,293.95,0,b'0',1,288.4583,0,b'0',1,70.3142,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7642,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609460400,2021-01-01 00:20:00,1609460400,1609460400,10.6,0,b'0',1,208,0,b'0',1,12.9,0,b'0',1,0,0,0,-9,102378,0,b'0',1,102350,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,11.0,0,b'0',1,205,0,b'0',1,14.2,0,b'0',1,0,0,0,-9,102460,0,b'0',1,102420,0,b'0',1,293.95,0,b'0',1,288.4818,0,b'0',1,70.4218,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7696,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609461000,2021-01-01 00:30:00,1609461000,1609461000,10.4,0,b'0',1,210,0,b'0',1,13.4,0,b'0',1,0,0,0,-9,102378,0,b'0',1,102350,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,10.9,0,b'0',1,207,0,b'0',1,13.9,0,b'0',1,0,0,0,-9,102460,0,b'0',1,102420,0,b'0',1,293.95,0,b'0',1,288.6677,0,b'0',1,71.2822,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7596,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609461600,2021-01-01 00:40:00,1609461600,1609461600,10.0,0,b'0',1,210,0,b'0',1,12.8,0,b'0',1,0,0,0,-9,102378,0,b'0',1,102350,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,10.6,0,b'0',1,207,0,b'0',1,13.6,0,b'0',1,0,0,0,-9,102471,0,b'0',1,102430,0,b'0',1,293.95,0,b'0',1,289.0104,0,b'0',1,72.8924,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,34.7435,0,b'0',0,-72.28,0,b'0',0,2.1422,0,b'0',1,5.88235,0,b'0',1,5.25845,0,b'0',1,219.0,0,b'0',1,0.0,0.00259,260.0,260.0,0.242,0.907,19.15,0.0,-11.0,-78.0,293.7652,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609462200,2021-01-01 00:50:00,1609462200,1609462200,10.4,0,b'0',1,213,0,b'0',1,13.7,0,b'0',1,0,0,0,-9,102398,0,b'0',1,102370,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,10.9,0,b'0',1,209,0,b'0',1,14.2,0,b'0',1,0,0,0,-9,102481,0,b'0',1,102440,0,b'0',1,293.95,0,b'0',1,289.033,0,b'0',1,72.9996,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.76,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609462800,2021-01-01 01:00:00,1609462800,1609462800,10.2,0,b'0',1,211,0,b'0',1,12.4,0,b'0',1,0,0,0,-9,102388,0,b'0',1,102360,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0,10.6,0,b'0',1,208,0,b'0',1,13.3,0,b'0',1,0,0,0,-9,102471,0,b'0',1,102430,0,b'0',1,293.95,0,b'0',1,289.1678,0,b'0',1,73.6424,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,34.7439,0,b'0',0,-72.2801,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.762,0,b'0',1,34.7439,0,b'0',0,-72.2801,0,b'0',0
1609463400,2021-01-01 01:10:00,1609463400,1609463400,10.6,0,b'0',1,212,0,b'0',1,13.3,0,b'0',1,0,0,0,-9,102398,0,b'0',1,102370,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0,11.1,0,b'0',1,208,0,b'0',1,14.3,0,b'0',1,0,0,0,-9,102481,0,b'0',1,102440,0,b'0',1,293.95,0,b'0',1,289.3013,0,b'0',1,74.2846,0,b'0',0,34.7442,0,b'0',0,-72.2803,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7572,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0
1609464000,2021-01-01 01:20:00,1609464000,1609464000,11.0,0,b'0',1,212,0,b'0',1,13.9,0,b'0',1,0,0,0,-9,102408,0,b'0',1,102380,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0,11.5,0,b'0',1,208,0,b'0',1,14.6,0,b'0',1,0,0,0,-9,102491,0,b'0',1,102450,0,b'0',1,293.95,0,b'0',1,289.1678,0,b'0',1,73.6424,0,b'0',0,34.7442,0,b'0',0,-72.2803,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7565,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0
1609464600,2021-01-01 01:30:00,1609464600,1609464600,10.7,0,b'0',1,217,0,b'0',1,13.2,0,b'0',1,0,0,0,-9,102418,0,b'0',1,102390,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0,11.0,0,b'0',1,212,0,b'0',1,13.9,0,b'0',1,0,0,0,-9,102501,0,b'0',1,102459,0,b'0',1,293.95,0,b'0',1,289.078,0,b'0',1,73.2139,0,b'0',0,34.7442,0,b'0',0,-72.2803,0,b'0',0,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,-9,b'_',-9,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,293.7572,0,b'0',1,34.7442,0,b'0',0,-72.2803,0,b'0',0
