,datetime.1,time.1,time_wpm_20.1,wind_speed.1,wind_speed_qc.1,wind_speed_detail_qc.1,wind_speed_release.1,wind_direction.1,wind_direction_qc.1,wind_direction_detail_qc.1,wind_direction_release.1,wind_gust.1,wind_gust_qc.1,wind_gust_detail_qc.1,wind_gust_release.1,max_1_minute_wind_speed.1,max_1_minute_wind_speed_qc.1,max_1_minute_wind_speed_detail_qc.1,max_1_minute_wind_speed_release.1,air_pressure_at_sea_level.1,air_pressure_at_sea_level_qc.1,air_pressure_at_sea_level_detail_qc.1,air_pressure_at_sea_level_release.1,air_pressure.1,air_pressure_qc.1,air_pressure_detail_qc.1,air_pressure_release.1,latitude.1,latitude_qc.1,latitude_detail_qc.1,latitude_release.1,longitude.1,longitude_qc.1,longitude_detail_qc.1,longitude_release.1,wind_speed.2,wind_speed_qc.2,wind_speed_detail_qc.2,wind_speed_release.2,wind_direction.2,wind_direction_qc.2,wind_direction_detail_qc.2,wind_direction_release.2,wind_gust.2,wind_gust_qc.2,wind_gust_detail_qc.2,wind_gust_release.2,max_1_minute_wind_speed.2,max_1_minute_wind_speed_qc.2,max_1_minute_wind_speed_detail_qc.2,max_1_minute_wind_speed_release.2,air_pressure_at_sea_level.2,air_pressure_at_sea_level_qc.2,air_pressure_at_sea_level_detail_qc.2,air_pressure_at_sea_level_release.2,air_pressure.2,air_pressure_qc.2,air_pressure_detail_qc.2,air_pressure_release.2,air_temperature.1,air_temperature_qc.1,air_temperature_detail_qc.1,air_temperature_release.1,dew_point_temperature.1,dew_point_temperature_qc.1,dew_point_temperature_detail_qc.1,dew_point_temperature_release.1,relative_humidity.1,relative_humidity_qc.1,relative_humidity_detail_qc.1,relative_humidity_release.1,latitude.2,latitude_qc.2,latitude_detail_qc.2,latitude_release.2,longitude.2,longitude_qc.2,longitude_detail_qc.2,longitude_release.2,latitude.3,latitude_qc.3,latitude_detail_qc.3,latitude_release.3,longitude.3,longitude_qc.3,longitude_detail_qc.3,longitude_release.3,latitude.4,latitude_qc.4,latitude_detail_qc.4,latitude_release.4,longitude.4,longitude_qc.4,longitude_detail_qc.4,longitude_release.4,significant_wave_height.1,significant_wave_height_qc.1,significant_wave_height_detail_qc.1,significant_wave_height_release.1,dominant_period.1,dominant_period_qc.1,dominant_period_detail_qc.1,dominant_period_release.1,average_period.1,average_period_qc.1,average_period_detail_qc.1,average_period_release.1,mean_wave_direction.1,mean_wave_direction_qc.1,mean_wave_direction_detail_qc.1,mean_wave_direction_release.1,c11.1,c11m.1,alpha1.1,alpha2.1,r1.1,r2.1,rhq.1,gamma2.1,gamma3.1,phih.1,sea_surface_temperature.1,sea_surface_temperature_qc.1,sea_surface_temperature_detail_qc.1,sea_surface_temperature_release.1,latitude.5,latitude_qc.5,latitude_detail_qc.5,latitude_release.5,longitude.5,longitude_qc.5,longitude_detail_qc.5,longitude_release.5
1609459200,2021-01-01 00:00:00,1609459200,1609459200,7.253086329134723,0,0,0.6274442223077815,185.20334551149293,0,0,1.4206252192655018,9.614486621097758,0,0,0.7815219951431365,0.0,0,0,-9.555831651658725,101603.13662879259,0,0,1.2451336193386415,101913.8923430265,0,0,0.3246358036563739,34.74507100910307,0,0,-0.36750253132140187,-72.28285154863084,0,0,-0.07924889860978666,8.225540194240887,0,0,0.681167375438303,252.8487111798314,0,0,1.2161558177949834,8.92699057818168,0,0,1.5087471329204938,0.0,0,0,-9.304192238299501,101713.75224251716,0,0,1.2949185676027148,101483.86314336931,0,0,-0.021965049788432944,293.6842346174505,0,0,1.2289628066412646,293.12249034255603,0,0,0.5878088451169188,85.13646999977982,0,0,0.06550592197879838,34.74821430869163,0,0,-0.5637428495055623,-72.27786624740618,0,0,0.20140745728481274,34.74681017140917,0,_,-9.423673223329708,-72.28641507560688,-9,_,-10.159322982950545,34.747769290717805,-9,0,-7.369909797056275,-72.28085078416146,-9,_,-6.60454070986311,2.5497328009447893,-9,0,-9.724538466664209,6.983692168338885,-9,_,-8.197149360728432,4.62267949550972,0,0,-8.534559134595272,231.5826743632972,-9,_,-8.610131451868165,0.0,0.0025293114943971467,246.4369479698363,276.4797632352735,0.17705602074763158,0.8164603178371476,20.001036714369306,84.52530656472848,-41.321105862483364,-54.16173538805637,293.79861894951324,0,0,1.1433270374234994,34.747516143482436,0,0,0.2647787216401981,-72.28728485980803,0,0,0.29960581325431623
1609462800,2021-01-01 01:00:00,1609462800,1609462800,10.562531877043861,0,0,0.7777665660826687,198.78218621011038,0,0,0.891659385367198,5.218623612450019,0,0,0.6640859024665602,0.0,0,0,-9.412362086652479,101392.75113294524,0,0,0.6226219205829043,101634.97894146584,0,0,0.8194687706246545,34.74672590254928,0,0,0.017507549326129277,-72.28102303843613,0,0,-0.807451814725379,5.731900523817257,0,0,0.7848135348869483,248.58076088196142,0,0,1.2588765255658534,7.5204644700408,0,0,0.8788440668083597,0.0,0,0,-9.342586476733924,101958.47668129393,0,0,0.6848833151602893,101980.85722071544,0,0,1.196594538955845,292.93680195213676,0,0,1.0516777369971133,291.55912314900974,0,0,1.473684619817858,93.86904825527348,0,0,0.2530922937512486,34.748058521905065,0,0,-0.7667610508624849,-72.27911313469049,0,0,-0.7051801610090677,34.74867032033577,-9,_,-9.282544474052191,-72.2810307197506,0,_,-10.912183128440804,34.74519332975506,-9,_,-3.526761019663621,-72.27944752962091,-9,_,-11.002032525695427,1.8838869543906736,-9,_,-9.399618744052118,6.322773397178884,-9,_,-8.252865345768857,6.024630872330577,-9,_,-7.699257597880383,245.86132015966018,-9,0,-9.155671589922333,0.0,0.0042194647566176245,210.06057689462685,327.07850111828634,0.3161565672849045,0.8434772627434532,-6.341988379718568,-151.00006148369982,-114.97566371643028,-41.065611014229766,293.64254647723897,0,0,0.58236385343489,34.748471512877884,0,0,-0.4640933472159731,-72.28524546838604,0,0,0.2362521454271404
1609466400,2021-01-01 02:00:00,1609466400,1609466400,4.843659090750807,0,0,0.28991852169216215,248.68772397397095,0,0,1.588501662909259,9.675719402128312,0,0,0.42506888057238135,0.0,0,0,-9.775622145921314,101654.51890769157,0,0,0.9988414143457987,101166.71335862226,0,0,0.6972763936289995,34.74706421208184,0,0,0.32164507375906337,-72.28340153846821,0,0,-0.3157208057202251,12.936691363143659,0,0,0.6966771224460611,238.3991045319969,0,0,0.3810387249702142,8.521796458103521,0,0,0.5782974651454591,0.0,0,0,-8.603236315626363,100728.93170838134,0,0,1.2647684585206913,103014.17607878718,0,0,1.3008159922975029,293.7817842654129,0,0,0.9842975414504105,290.9689612262649,0,0,0.8478396285993802,84.98571385917147,0,0,-0.16025246582202024,34.74797610890691,0,0,0.6032135720714812,-72.28028122055008,0,0,0.6587203860965034,34.74113760764123,-9,_,-8.63312105656248,-72.28008792241023,-9,_,-4.308466555305539,34.746258820437,0,_,-4.8660692325596555,-72.28028431022356,-9,_,-3.102922627589158,1.5216222523874883,0,_,-8.925570659533378,7.465370180592647,0,_,-9.490425111559444,6.254755172280242,-9,_,-8.989917300104679,242.0500481260527,-9,_,-10.232040254580317,0.0,0.004499299170573118,173.99632809457228,243.7802495266357,0.45043276408207844,0.9857047269536234,22.395923718087182,-140.11197056725965,210.86734696891963,-39.28883890209076,293.7181105120995,0,0,1.2408776721356984,34.74350826969797,0,0,-0.14007800347683322,-72.2840459606637,0,0,0.5083181619603026
1609470000,2021-01-01 03:00:00,1609470000,1609470000,7.023114349886301,0,0,0.6496546164001705,202.04559223576868,0,0,0.7726013930896473,11.399460738212928,0,0,1.4788324858397326,0.0,0,0,-8.360182139497448,102118.20475309847,0,0,0.5139009061597994,102433.34972660734,0,0,0.17402782296286778,34.74537213567882,0,0,0.21453655966150267,-72.27895528571362,0,0,-0.5296650013371919,4.3310307917477395,0,0,0.9316872099787312,209.28352614702692,0,0,0.8797081527268897,11.486790695196989,0,0,0.9285560648194433,0.0,0,0,-8.259570444329237,101658.8145783255,0,0,1.9216966956132673,101160.28315107978,0,0,1.3342282798092133,294.49802533529333,0,0,1.5385698182124798,291.1696727303751,0,0,1.0640465933841594,85.1304558366418,0,0,-0.35374175722710355,34.74609676279527,0,0,0.6131220452883779,-72.2794475644536,0,0,0.5465864678111167,34.74444117305437,-9,_,-10.221604658491085,-72.28126514487005,-9,_,-8.615507258862095,34.74858147825994,-9,_,-9.347760762927303,-72.28313370282794,0,_,-3.1403060995209753,2.3820343950146237,-9,_,-9.063917401404824,8.098171856678551,-9,_,-8.899439873689373,6.058741422200675,-9,0,-9.837761364710948,244.664063594628,-9,_,-8.92073051631592,0.0,0.006857551528596789,288.52575704585547,88.85939626876814,0.3153024166340053,0.884933231759192,-1.437777933582666,-188.7221548252298,-138.71774308957006,-2.2911577047361726,293.6674919014917,0,0,0.9556036310523516,34.745047924680755,0,0,0.5765920958543902,-72.28304706150507,0,0,-0.2628768948017426
1609473600,2021-01-01 04:00:00,1609473600,1609473600,14.559907479298221,0,0,1.0949410486931959,48.82971229012168,0,0,0.6262500005936762,5.872134748564384,0,0,1.5594273081211603,0.0,0,0,-8.419426596646186,101794.60504252702,0,0,0.6789355009577206,101530.00536814888,0,0,1.834432332783019,34.744663846038705,0,0,-0.07737064869506019,-72.28396253857238,0,0,0.6130409270202949,2.9235542663773417,0,0,0.7120001930764026,212.4999040420468,0,0,0.8968748260769293,17.707137183609504,0,0,0.0574518020862137,0.0,0,0,-9.319309742077536,102185.60585789346,0,0,1.4085564784674243,101702.89329745871,0,0,1.0281697988836687,294.0785786539602,0,0,1.4432015298834686,292.04484566809754,0,0,0.9455166406090172,90.81975711424873,0,0,0.1727566556991895,34.74583306689743,0,0,-0.012090829646248363,-72.28579626820455,0,0,0.03630098187003443,34.74298996982832,-9,_,-3.8263279897206863,-72.28310105983479,-9,_,-1.2744091639447648,34.7462417716589,-9,_,-1.4719961445411522,-72.2872481539811,-9,_,-4.109581744255983,2.2995584015462978,-9,_,-8.906914124775195,9.520727869265007,-9,_,-8.808372175112805,5.569734789938414,-9,_,-8.028697090682689,219.06087655455852,-9,_,-9.401039932072543,0.0,0.0009781739361661732,330.41972593853495,141.3126696409833,0.24180619344699822,1.1347494285915762,6.691810498702056,173.86840607433106,-107.764974586474,-79.31683774587285,293.6762861666488,0,0,1.9960771862148765,34.74728716660832,0,0,-0.2206508752587373,-72.28614021642464,0,0,0.36199484502080653
1609477200,2021-01-01 05:00:00,1609477200,1609477200,4.8828269348403435,0,0,0.26900801932149454,239.76537540281564,0,0,0.9286543340105075,8.53230499695575,0,0,0.5744308975283234,0.0,0,0,-8.48576985234473,102292.46061108033,0,0,1.063075189800132,101886.68910485365,0,0,0.1861314942190767,34.74573806494133,0,0,-0.2852483274894321,-72.2814479333615,0,0,-0.3261351139599961,9.351147267546901,0,0,1.3474814523098766,183.13846642101464,0,0,0.7284011413772262,7.762671990430509,0,0,1.5994674011253416,0.0,0,0,-9.727348002557202,101159.96483673711,0,0,0.7679624426136986,102382.88462647503,0,0,0.7864232088533779,293.8180857558016,0,0,0.9349363580115947,290.92094637781224,0,0,0.9123594028115577,87.41256599076573,0,0,-0.22457026512734,34.74883177481902,0,0,-1.2847153459960137,-72.28248558947081,0,0,0.509395095024112,34.74515115446439,-9,_,-7.274668496403318,-72.27995192952358,0,_,-4.925110394290966,34.74521896782306,-9,_,-2.2754323039530897,-72.28205958824887,-9,_,-7.179594820819187,1.4568802902336457,-9,_,-8.937037258212658,5.802133053318706,-9,_,-8.9790095518499,5.381538408581533,-9,_,-8.536252580640245,263.1404804847015,-9,_,-9.149920358164074,0.0,-0.0003325409236140792,-33.89597984782006,183.57870691751572,0.12044075416170084,0.9028540982267989,24.604086270060524,244.30134608499847,3.6323555881823797,-39.29101316773546,293.7301259217701,0,0,1.2494276319386746,34.746264850254185,0,_,0.1804838637593617,-72.28073970115348,0,0,0.1818171124895731
1609480800,2021-01-01 06:00:00,1609480800,1609480800,10.001140429498706,0,0,1.7854300118735829,231.68773643741633,0,0,0.7855026917850423,13.20106295471705,0,0,0.5288520004524262,0.0,0,0,-9.139908150995746,102623.72977110106,0,0,1.3951373224214816,101676.44366178889,0,0,1.0382998422671434,34.74569679859684,0,0,0.48393200188142416,-72.2853359057753,0,0,-0.05767298461928469,10.635973252616465,0,0,0.062055749079153344,174.43169772287635,0,0,1.3034976622807848,9.480252224333611,0,0,0.7683582563111595,0.0,0,0,-8.124416631001287,102427.67557080882,0,0,0.5255158817370436,101471.29461472959,0,0,0.1651514945125354,294.0052127584946,0,0,0.7483553345982376,292.2388062177632,0,0,1.0183066905803821,87.7355403403072,0,0,0.7518912865875073,34.74728720036578,0,0,0.1969014991369696,-72.28478831469663,0,0,-0.10260117976300302,34.744280402792256,-9,_,-9.4975080500341,-72.28777611714642,-9,_,-1.2316935267291997,34.74099932280069,0,_,-10.898319003560339,-72.2811407925052,-9,_,-4.250991298494056,2.6589253466386342,0,_,-8.351024100763027,8.42272027973797,-9,_,-9.146738143561777,5.4847613170413485,-9,_,-9.464297400145751,226.58500665558287,0,0,-8.84689513307442,0.0,0.0004066690600508314,252.39552111661115,58.698424793712434,0.12816047427061078,1.1720866468166538,17.10641134335036,49.75453411936352,-18.53025795831081,38.42149537280931,293.7310875851455,0,0,-0.1632830573587829,34.744564578346555,0,0,0.3389127619218059,-72.28273335273568,0,0,0.2764804064722706
1609484400,2021-01-01 07:00:00,1609484400,1609484400,6.662493686440362,0,0,0.7969771020521086,97.44555453374336,0,0,1.3699235114431012,9.886593603046306,0,0,1.0171962678332835,0.0,0,0,-9.336279372061467,102257.42991733777,0,0,2.1877843758685533,101935.74715068501,0,0,1.2556639518710642,34.743167535196854,0,0,-0.15574965539835808,-72.27899649474983,0,0,-0.4465766574572904,7.767789573303049,0,0,0.459966312030055,225.51650288721248,0,0,0.993762537192416,6.556147972177736,0,0,0.9770337884168533,0.0,0,0,-9.181559072128119,102744.39020841094,0,0,1.2458386859170123,101270.90872638569,0,0,0.13087414525421937,293.76631674155743,0,0,1.1346791961681646,290.2975612132773,0,0,1.9747390941583047,83.0861176070831,0,0,-0.10479444814208484,34.744026331680196,0,0,-0.03300760292658912,-72.27736049713567,0,0,-0.37287844417072374,34.74465011696095,0,0,-2.2106639409562803,-72.28714725873755,-9,_,-8.298887923149175,34.74688773754615,-9,0,-12.074800597224035,-72.2791091936649,-9,_,-4.402461984494238,2.52051941751978,-9,0,-9.38383546942502,8.000655244181413,-9,_,-8.590096655745713,4.992254720519155,-9,_,-9.919588217506474,285.80059027502534,0,_,-8.781532104530262,0.0,0.0019365696397047418,238.72445376552363,229.26638860996914,0.21473588953275022,1.008497669300354,16.55328709792753,182.29422852340548,-1.596215587747535,-2.957580949371712,293.71747256874914,0,0,0.32908769824690043,34.74748400674097,0,0,-0.07848441603020136,-72.28422868845902,0,0,-0.3673537921576723
1609488000,2021-01-01 08:00:00,1609488000,1609488000,4.689985544798694,0,0,0.6435646871076977,238.4919665676055,0,0,0.12588270845560412,17.237250148510267,0,0,0.1477577891294336,0.0,0,0,-8.900721681520414,103130.9977862169,0,0,1.2509040174182415,102143.94033990761,0,0,1.5969727283701634,34.74706510134457,0,0,0.3927937950607242,-72.28156940147544,0,0,0.30712063168532405,14.229728399829941,0,0,0.47059397753631316,238.6819002904629,0,0,0.9852785042627881,11.942303660352783,0,0,1.139746553423466,0.0,0,0,-9.193632986819303,102002.6870666759,0,0,0.8139416311019657,103071.38038248208,0,0,1.123187520919943,293.693891325795,0,0,0.9748910475435948,292.3208760853439,0,0,0.9571516794043168,85.04727160309268,0,0,-0.12973919891517458,34.75350185097127,0,_,0.7121770219783502,-72.28191083268214,0,0,-0.6760073081507569,34.74814887857694,-9,_,-8.484545403642262,-72.2848597617892,-9,_,-6.1760567965032465,34.74685739355031,-9,_,-5.76914004962638,-72.27868451098506,-9,_,-15.546262469529372,1.5679969734895618,-9,0,-8.653735425652414,6.54983664864069,-9,0,-8.803736351019754,4.824614429612659,-9,_,-9.1857666972568,208.04343983514917,-9,_,-10.031265311825688,0.0,-0.0013722453384307886,202.73228709472153,176.14864250428047,0.2232480556973931,0.9933816380368844,8.293214272666622,153.6320871348379,24.07613104538708,-51.505117383522226,293.7868057002302,0,0,0.35678977014337687,34.745402816077195,0,0,-0.251996813894917,-72.27841027237969,0,0,-0.4018899361268703
1609491600,2021-01-01 09:00:00,1609491600,1609491600,10.375427780609598,0,0,0.9844175233645537,205.797785588761,0,0,1.096739762034589,10.7466405046981,0,0,1.1767968482294349,0.0,0,0,-8.651999671265983,101058.40688948397,0,0,2.1704875228390748,102087.60622730663,0,0,0.6769901393625269,34.747517120060785,0,0,0.13863398514038355,-72.28709627581642,0,0,-0.16627831268605694,4.1593273650534766,0,0,1.3456739106460496,307.7669318181655,0,0,0.4439893975298489,18.946544991613973,0,0,2.054544122532576,0.0,0,0,-9.069968405003523,101342.99962924932,0,0,0.6823253754474632,102682.02431016133,0,0,0.5695778502286953,293.3331390914462,0,0,1.4120709281036325,291.6277789174157,0,0,0.5090325633620179,83.33121045959352,0,0,0.11154509225459154,34.7452270423289,0,0,0.3893236704260706,-72.28519987093318,0,0,-0.2539532102917445,34.74693930223724,-9,_,-5.080505211348164,-72.28122230356823,-9,_,-7.463719334996606,34.74560193278012,0,_,-12.637824639182663,-72.28413472295193,0,_,-7.00073616247069,2.5981284735684604,-9,_,-9.082905411135734,6.464969126074714,-9,_,-8.607877504179914,5.966900154693455,-9,_,-9.989970750527856,248.50586913362463,-9,0,-8.901642763610088,0.0,0.0012010867863594566,232.62651901441805,379.94876562897485,0.3352790692226334,0.983281189982232,21.541929551522855,51.6898541924301,-201.69300140709382,-34.75212964317944,293.70360880156306,0,0,0.438595475604616,34.74876719095266,0,0,0.4138023912957515,-72.28594425240316,0,0,0.017392677268458927
